Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"653-B3U-1000P","","B1, B2, B3, B4, B5, B6","B3U-1000P","PUSH_BUTTON","6","Mouser","653-B3U-1000P"
"1u","MLCC Capacitor 1608","C1, C40, C41, C42, C43","CAPC1608X08","CMP-001-0010-A.3","5","",""
"100n","MLCC Capacitor 1608","C2, C3, C4, C5, C6, C7, C10, C32, C39","CAPC1608X08","CMP-001-0010-A.3","9","",""
"120n","MLCC Capacitor 1608","C8","CAPC1608X08","CMP-001-0010-A.3","1","",""
"6.8n","MLCC Capacitor 1608","C9","CAPC1608X08","CMP-001-0010-A.3","1","",""
"1u","MLCC Capacitor 1608","C11, C18, C26","CAPC1608X08N","CMP-001-0010-A.1","3","",""
"100n","MLCC Capacitor 1608","C12, C14, C15, C19, C27, C28","CAPC1608X08N","CMP-001-0010-A.1","6","",""
"10u","MLCC Capacitor 1608","C13, C16, C17, C25, C29","CAPC1608X08N","CMP-001-0010-A.1","5","",""
"NC","MLCC Capacitor 1608","C20, C21, C22, C23, C36, C37, C38","CAPC1608X08","CMP-001-0010-A.3","7","",""
"8p","MLCC Capacitor 1608","C24, C30, C31","CAPC1608X08","CMP-001-0010-A.3","3","",""
"12.5p","MLCC Capacitor 1608","C33, C34","CAPC1608X08","CMP-001-0010-A.3","2","",""
"0.7p","MLCC Capacitor 1608","C35","CAPC1608X08","CMP-001-0010-A.3","1","Mouser","77-VJ0603D0R7VXPAJ"
"10u","MLCC Capacitor 2012","C44, C45","CAPC2012X14","CMP-001-0011-A.3","2","",""
"10p","MLCC Capacitor 1608","C46","CAPC1608X08","CMP-001-0010-A.3","1","Mouser","77-VJ0603D100FXPAJ"
"USBLC6-2SC6","Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel","D1","STM-SOT23-6L_V","CMP-2000-05378-1","1","",""
"S1A","General-Purpose Rectifier, Vrrm = 50V","D2, D3","DO-214AC","CMP-001-0034-A.1","2","",""
"LTST-C190KRKT","LED Uni-Color Red, 62.5 mW, 5 V, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1, DS5","LTST-C191KRKT_V","CMP-00027-A.1","2","",""
"LTST-C190KGKT","LED Uni-Color Green, 75 mW, 5 V, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS2, DS6, DS9, DS10","LITE-ON-LTST-C190GKT-2_V","CMP-00026-A.1","4","",""
"LTST-C190TBKT","Single Color Chip LED, 2.8 to 3.8 V, 28 to 180 mcd, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel","DS3, DS7","LTST-C190TBKT-2_V","CMP-00021-A.1","2","",""
